Unnamed: 0,Case,Year,Court,Jurisdiction,Category,Medium,Outcome,Computer Program,Education/Scholarship/Research,Eleventh Circuit,"Eleventh Circuit, Internet/Digitization, Textual work","Federal Circuit, Sculpture, Photograph",Film/Audiovisual,"Film/Audiovisual, Format shifting/Space shifting, Internet/Digitization","Film/Audiovisual, Internet/Digitization, Review/Commentary","Film/Audiovisual, Music","Film/Audiovisual, Parody/Satire","Film/audiovisual, Used in government proceeding",Films/Audiovisual,First Circuit,Format shifting/Space shifting,Format shifting/space shifting,Fourth Circuit,"Fourth Circuit, Photograph, Internet/Digitization",Internet,Internet/Digitization,"Internet/Digitization, Film/Audiovisual",Music,News Reporting,News Reporting Photograph;,News reporting,Ninth Circuit,"Ninth Circuit, Photograph, Review/Commentary",Other visual arts,Painting/Drawing/Graphic,Parody/Satire,Photograph,"Photograph, Review/Commentary",Review/Commentary,"Review/Commentary, Internet/Digitization",Sculpture,Second Circuit,"Second Circuit, Internet/Digitization, Music","Second Circuit, Internet/Digitization, News reporting, Photograph","Second Circuit, Photograph, Review/Commentary, Internet/Digitization, News reporting",Seventh Circuit,Textual Work,Unpublished,Used in government proceeding
195,"Princeton Univ. Press v. Mich. Document Servs., Inc., 99 F.3d 1381 (6th Cir. 1996)",1996,6th Cir.,Sixth Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,"Am. Geophysical Union v. Texaco, Inc., 60 F.3d 913 (2d Cir. 1994)",1994,2d Cir.,Second Circuit,Education/Scholarship/Research; Textual work; Used in government proceeding,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
198,"Rotbart v. J.R. O’Dwyer Co., No. 94 Civ. 2091 (JSM) (S.D.N.Y. Feb. 7, 1995)",1995,S.D.N.Y.,Second Circuit,Format shifting/Space shifting; News reporting; Review/commentary; Textual work; Unpublished,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
199,"Norse v. Henry Holt & Co., 847 F. Supp. 142 (N.D. Cal. 1994)",1994,N.D. Cal.,Ninth Circuit,Education/Scholarship/Research; Textual work; Unpublished,Text,Fair use found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
200,"Twin Peaks Prods., Inc. v. Publ’ns Int’l, Ltd., 996 F.2d 1366 (2d Cir. 1993)",1993,2d Cir.,Second Circuit,Education/Scholarship/Research; Film/Audiovisual; Review/Commentary; Textual work,Text,Fair use not found,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
201,"Television Digest, Inc. v. U.S. Tel. Ass’n, 841 F. Supp. 5 (D.D.C. 1993)",1993,D.D.C.,District of Columbia Circuit,Format shifting/Space shifting; News reporting,Text,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"Arica Inst., Inc. v. Palmer, 970 F.2d 1067 (2d Cir. 1992)",1992,2d Cir.,Second Circuit,Education/Scholarship/Research; Painting/Drawing/Graphic; Review/Commentary; Textual work,Text,Fair use found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
203,"Rogers v. Koons, 960 F.2d 301 (2d Cir. 1992)",1992,2d Cir.,Second Circuit,Parody; Review/Commentary; Sculpture,Text,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
204,"L.A. News Serv. v. Tullo, 973 F.2d 791 (9th Cir. 1992)",1992,9th Cir.,Ninth Circuit,Film/Audiovisual; News reporting,Text,Fair use not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"Sega Enters. Ltd. v. Accolade, Inc., 977 F.2d 1510 (9th Cir. 1992)",1992,9th Cir.,Ninth Circuit,Computer program; Education/Scholarship/Research,Text,Fair use found,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
